NOWAK
LIPKA
TRZECIAK
MAŃKOWSKA
AUGUSTYN
JANUSZEWSKA
MICHALCZYK
TOKARZ
KOTOWSKA
KAWA
MOLENDA
ADAMCZAK
SKOWRONEK
TOMALA
BUCZYŃSKA
FILIPOWICZ
ADAMEK
KOŁAKOWSKA
GŁOGOWSKA
MROZEK
KOBUS
MAŚLANKA
JAGIELSKA
KITA
KOGUT
KOPER
ADAMUS
PIECHOTA
PILCH
NOGA
ZIĘTEK
MALIK
KANIEWSKA
STOLARSKA
DOBRZYŃSKA
GORCZYCA
GRZESIK
BANASIK
ŻUK
ROBAK
BĄKOWSKA
BUDZYŃSKA
MACIĄG
NIEDŹWIECKA
JURCZAK
CHUDZIK
NIEMCZYK
RUDZIŃSKA
WIĄCEK
KOZA
PRUS
JARZĄBEK
WARCHOŁ
KOS
PRZYBYŁ
BUCZKOWSKA
RUDNIK
SOŁTYSIAK
KŁOSOWSKA
SHEVCHUK
MOSKAL
MIŚKIEWICZ
HERMAN
KALISZ
STAŃCZAK
KUŹMA
SOJKA
PORĘBSKA
GADOMSKA
KOPACZ
DRABIK
STACHURSKA
WYPYCH
DĄBKOWSKA
ADAMOWICZ
KASPEREK
OLEKSY
SURMA
BIAŁKOWSKA
OLCZYK
BARTNIK
OSSOWSKA
KUCIŃSKA
BŁASZCZAK
STACHOWICZ
WOLIŃSKA
GOLEC
MARCHEWKA
PIŁAT
MAGIERA
ROMAN
ZABŁOCKA
RYŚ
FURMAN
KOVAL
JAROS
KIEŁBASA
BALCERZAK
KORZENIOWSKA
TKACHENKO
BIELSKA
BUDZIŃSKA
NIEDZIELSKA
TRACZ
ADAMIAK
SZYMKOWIAK
ŻYŁA
SZELĄG
RYBARCZYK
WOJTKOWIAK
MILLER
RUDZKA
RADECKA
DRÓŻDŻ
GRUDZIEŃ
BURY
LESIAK
KOSOWSKA
PIETRUSZKA
ŚLĘZAK
SĘK
KOZIK
KUJAWSKA
PIOTROWICZ
KOSTECKA
SCHMIDT
SOBAŃSKA
WARZECHA
PANASIUK
FRĄTCZAK
PELC
BIELIŃSKA
TOMASIK
JURCZYK
URBANEK
PAWLICKA
SEKUŁA
PEŁKA
KRAKOWSKA
TRELA
GRZEŚKOWIAK
WOŹNICA
WOJTASIK
KRUCZEK
WOŁOSZYN
POGORZELSKA
POLAŃSKA
BISKUP
CZERNIAK
SZUBA
ŚWIĄTKOWSKA
SOBOTA
URBANOWICZ
MIERZWA
ŚMIGIELSKA
STAWICKA
PIWOWARSKA
KRAVCHENKO
KULIŃSKA
HOFFMANN
ŚWIDER
MACKIEWICZ
KAWECKA
GUT
KMIEĆ
BANASZEK
CZEKAJ
BORYS
GŁĄB
LITWIN
KRASOWSKA
RATAJCZYK
ALEKSANDROWICZ
GRUDZIŃSKA
LORENC
KWIATEK
ROSZAK
WERNER
ROSZKOWSKA
WIŚNIOWSKA
IZDEBSKA
MAKUCH
TOKARCZYK
NAPIERAŁA
SZAREK
SZWARC
ŁUKASZEWICZ
JUSZCZYK
SKORUPA
SIWIEC
OLIINYK
KAWKA
LISZKA
STUDZIŃSKA
BOGACZ
SZOT
KNAP
JÓŹWIK
PIĘTKA
JAKUBCZYK
TUROWSKA
JEZIORSKA
SEMENIUK
KUKLA
KARCZ
KUSIAK
WRZESIŃSKA
LANGE
GACEK
KRUKOWSKA
WACH
KĘDZIOR
POLISHCHUK
ŻUCHOWSKA
RYBKA
PAPROCKA
ROŻEK
SIDOR
KRÓLAK
MAŃKA
KRASZEWSKA
GRODZKA
BOBROWSKA
KRUSZYŃSKA
SZELIGA
TKACZ
WOJDA
BOGDAŃSKA
MIELCAREK
CICHA
ŚPIEWAK
KORZENIEWSKA
KORCZAK
MAJKOWSKA
RADZISZEWSKA
SMOLEŃ
MAZIARZ
GĄSIOREK
KOSMALA
FILIP
NIEDZIELA
GRZYBEK
SZYMANEK
WAGNER
PERKOWSKA
MAŁKOWSKA
ROMAŃSKA
OLECH
JAKUBIEC
RZEPECKA
RUSEK
GRABARCZYK
MARTYNIUK
WOLNA
WAJDA
SZKUDLAREK
LEWIŃSKA
STASZAK
RODAK
LIPIEC
POTOCKA
NOWIŃSKA
ŚLEDŹ
PĘKALA
RESZKA
BARTOSZEK
TKACHUK
WASIELEWSKA
KULPA
KAPUŚCIŃSKA
SZOPA
PISAREK
RACZKOWSKA
KUPIEC
WOJTOWICZ
KOZAKIEWICZ
PLICHTA
KAWALEC
BANASZAK
DROŻDŻ
ADAMIEC
BUGAJSKA
GŁADYSZ
KONARSKA
PIECH
DUSZYŃSKA
SKONIECZNA
GOLA
KAŹMIERSKA
SZYMANOWSKA
ROGOZIŃSKA
PASZKIEWICZ
ROKICKA
JANCZAK
OSOWSKA
KOCHAŃSKA
OLSZAK
WYRZYKOWSKA
BILIŃSKA
KURZAWA
SUCHECKA
WRZOSEK
BRZESKA
STOKŁOSA
KALIŃSKA
AMBROZIAK
BUGAJ
KĘPKA
SUŁKOWSKA
SOLECKA
PIERZCHAŁA
PUCHAŁA
KAROLAK
BALICKA
KOKOT
SUDOŁ
GRUCA
GOLIŃSKA
SZCZYGIELSKA
WASZKIEWICZ
BIELA
ORZEŁ
WÓJCIAK
LASEK
BRODOWSKA
ŚWIERCZEK
KOKOSZKA
WEBER
PASEK
WIELGUS
WOJTASZEK
JASKULSKA
BURDA
GÓRALCZYK
CHROBAK
ZAPAŁA
KRAUZE
MACH
BARSZCZ
PIECHOCKA
BIAŁECKA
SZCZUREK
PŁATEK
BONDAR
WOŹNA
BOJARSKA
JAROSZEWSKA
GARBACZ
BATOR
JAMRÓZ
DYMEK
MĄCZKA
CZARNOTA
FIGURA
ZBOROWSKA
LOREK
PISZCZEK
KOPROWSKA
OŻÓG
FERENC
DZIKOWSKA
MATUSIK
KOSTKA
SZPAK
DUTKIEWICZ
OLEŚ
OSUCH
SALA
GOŁĄBEK
KOCHANOWSKA
TRACZYK
PASZEK
STĘPNIEWSKA
WALCZYK
BERNAT
STENCEL
KOZYRA
BARTOSIEWICZ
DOLATA
BARON
KOŁODZIEJCZAK
GABRYŚ
GRELA
GRYGIEL
PISKORZ
BŁAŻEJEWSKA
CICHOSZ
PARADOWSKA
MIECZKOWSKA
BARTNICKA
SUROWIEC
KOLASIŃSKA
ŁAWNICZAK
MODRZEJEWSKA
GRABSKA
SZYMANIAK
KEMPA
MULARCZYK
DOLIŃSKA
WDOWIAK
ZASADA
ZAWISZA
WIELGOSZ
WINNICKA
ADAMCZEWSKA
SMOLAREK
STACHOWSKA
BROŻEK
WACHOWIAK
ZARĘBSKA
ZAWISTOWSKA
MROWIEC
ĆWIKLIŃSKA
ŚWITAŁA
